_	a	determiner			banyin na basia	a man and a woman
mo	yous	pronoun	de kyerɛ binom a wɔ retie	Also written as "you". second person plural subject. Used to indicate people being addressed.	mo didi	yous eat
mo	yours	possessive		2nd person plural possessive pronoun; commonly written as 'your'	mo fie 	your house
mode	yours	pronoun		possessive second person plural	wo na Kofi, ɛ yi yɛ mode	you and Kofi, this thing is yours
moho	yourselves	pronoun			mo nhwɛ moho yie	look after yourselves well
moma	forehead	noun			hwɛ ne moma	look at her forehead
mona	deliver	verb		send to someone	mona me sika	deliver money to me
mona	pit	noun			tu mona	dig a pit
mono	fresh	adjective			nhataw amono	fresh leaves
moo	rice	noun			moo na aduwa	rice and beans
Moroko	Morocco	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Moroko	go to Morocco
Morokonyi	Moroccan	noun	obi a ɔ fi Moroko	someone from Morocco	Morokofo no	the Moroccans
Mozambik	Mozambique	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Mozambik	go to Mozambique
Mozambiknyi	Mozambican	noun	obi a ɔ fi Mozambik	someone from Mozambique	Mozambikfo no	the Mozambicans
mɔmɔe	stinking fish seasoning	noun			fa mɔmɔe to nkwan no mu	add some stinking fish seasoning to the soup
Mɔngolia	Mongolia	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Mɔngolia	go to Mongolia
Mɔngolianyi	Mongolian	noun	obi a ɔ fi Mɔngolia	someone from Mongolia	Mɔngoliafo no	the Mongolians
mɔnita	monitor	noun			akoma mɔnita	heart monitor
Mɔrihyiɔs	Mauritius	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Mɔrihyiɔs	go to Mauritius
Mɔrihyiɔsnyi	Mauritian	noun	obi a ɔ fi Mɔrihyiɔs	someone from Mauritius	Mɔrihyiɔsfo no	the Mauritians
Mɔritaniya	Mauritania	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Mɔritaniya	go to Mauritania
Mɔritaniyanyi	Mauritanian	noun	obi a ɔ fi Mɔritaniya	someone from Mauritania	Mɔritaniyafo no	the Mauritanians
mpa	bed	noun			da mpa no do	sleep on the bed
mpaa	curse	noun			mpae nye mpaa	a prayer and a curse
mpaboa	shoe	noun		footwear that covers all of the foot	hyɛ wo mpaboa	wear your shoes
mpadua	bedstead	noun			tɔ mpadua	to buy a bedstead
mpae	prayer	noun			mpae yie	prayer is good
mpampa	pap	noun			di mpampa no	eat the pap
mpamugoro	sex	noun			mpamugoro yɛ dɛn?	what is sex?
mpasar	stroll	noun			tu mpasar	take a stroll
mpe	sleep crust	noun		whitish substance that forms at the corner of the eyes after long sleep	hohoro mpe no fi wo anyiwa ase	wash the sleep crust from under your eyes
mpempem	thousands	adjective			mpataakowa mpempem	thousands of ants
mpena	concubine	noun			Yaa yɛ me mpena	Yaa is my concubine
mpenatwe	courtship	noun			mpenatwe nye aware	courtship and marriage
mpɛmpɛnso	milestone	noun			mpɛmpɛnso titiriw	an important milestone
mpɛn	times	noun			mpɛn du	ten times
mpoano	beach	noun			mpoano anhwea	beach sand
mpoano	coast	noun			sika mpoano	gold coast
mpontu	development	noun			mpontu papa	good development
mpɔta	neighbourhood	noun			yɛ te mpɔta koro mu	we live in the same neighbourhood
mpɔtamunyi	neighbour	noun			me mpɔtamunyi	my neighbour
mpurkaa	bedbug	noun			ku mpurkaa	to kill bedbugs
mpuw	threat	noun			gyae mpuw no	stop the threats
mpuwa	banana	noun			adow pɛ mpuwa	a monkey likes bananas
mu	inside	adverb			kɔ mu	go inside
mua	shut	verb			mua pono no	shut the door
mudɔ	depth	noun			bura ne mudɔ	the depth of a well
muka	hearth	noun			gya wɔ muka no mu	there is fire in the hearth
mukaase	kitchen	noun			me wɔ mukaase	I am in the kitchen
mumu	mute	noun		someone who cannot speak	mumu nntumi nnkasa	a mute cannot speak
Mumu	December	noun			Mumu wɔ nda 31	December has 31 days
muna	cloud	verb			wimu amuna	the sky has clouded
mununkum	cloud	noun			mununkum fufuw	a white cloud
muo	be evil	verb			nduru bɔne fefa basabasa muo	abusing drugs is evil
muoko	pepper	noun			muoko no hyehye	the pepper burns
musumunsum	cloudy	adjective			da musumunsum	a cloudy day
na	scarcity	noun			nsu ho na	scarcity of water
na	expensive	adjective			ɛ yɛ na	it is expensive
na	and	conjunction			Kofi na Ama	Kofi and Ama
na	mother	noun			me na ba yɛ me nua	my mother's child is my sibling
naaso	but	conjunction			me pɛ ɛno, naaso	I like it, but
naetrogyen	nitrogen	science			naetrogyen (N) wɔ protɔn 7	nitrogen (N) has 7 protons
nam	meat	noun			apɔnkye nam	goat meat
nam	pass by	verb			ɔ nam ha dabiara	
Namibia	Namibia	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Namibia	go to Namibia
Namibianyi	Namibian	noun	obi a ɔ fi Namibia	someone from Namibia	Namibiafo no	the Namibians
namɔn	footstep	noun			di wo maame anamɔn mu	follow in your mother's footsteps
nan	leg	noun			nan honoee	swollen leg
nana	ancestor	noun			me nananom	my ancestors
nanabaa	grandmother	noun			me nanabaa	my grandmother
nanabanyin	grandfather	noun			me nanabanyin	my grandfather
nanabarima	grandfather	noun			me nanabarima	my grandfather
nanabasia	grandmother	noun			me nanabasia	my grandmother
nanaben	stranger	noun			ananaben abiasa	three strangers
nandwɛ	ankle	noun			wo anandwɛ	your ankles
nane	melt	verb			nku no renane	the sheabutter is melting
nanka	puff-adder	noun			nanka no awu	the puff-adder is dead
nankoroma		noun	nan twɛre			
nansa	foot	noun			me nansa	my foot
nansoa	toe	noun			nansoa na nantiri	toe and heel
nansɔba	toe	noun			nansɔba na nantiri	toe and heel
nantenyi	pedestrian	noun			anantefo akron	nine pedestrians
nantew	walk	verb			nantew berɛw	to walk slowly
nanteyie	godspeed	exclamation			me ma wo nanteyie	I wish you godspeed
nanteyie	goodbye	exclamation	nantew yie; baebae			say goodbye
nantiri	heel	noun			nansoa na nantiri	toe and heel
nantu	calf	noun		the soft part at the back of a person's leg below the knee.	nan biara wɔ anantu	every leg has a calf
nantwi	cow	noun			nantwi nam	cow meat; beef
nantwinam	beef	noun			we nantwinam	eat beef
ndaa	grave	noun		a place for storing a dead body permanently	ndaa anan	four graves
ndaadaa	disappointment	noun			ɔdɔ wɔ ndaadaa	love has disappointment
ndaama	future	noun			me hu ahotɔ wɔ wo ndaama mu	I see luxury in your future
ndaano	the other time	adverb			ɔ baee ndaano no	she came the other time
ndaano	the other day	adverb			ndaano no, me hu gyata	I saw a lion the other day
ndaase	thanksgiving	noun			ndaase som	thanksgiving service
ndaawɔtwe	eight days	noun			tweɔn ndaawɔtwe	wait eight days
nde	voice	noun			gow wo nde	soften your voice
ndebɔneyɛ	vice	noun			ndebɔneyɛ nye papayɛ	vice and virtue
ndeda	yesterday	adverb			ɔ baee ndeda	she arrived yesterday
ndeɛmba	things	noun			wo ndeɛmba	your things
ndɛ	today	adverb			ɔ ba ndɛ	she arrives today
ndinoa	rights	noun			adasa ndinoa	rights of humankind
ndɔbaa	harvest	noun			ndɔbaa bum	a plentiful harvest
ndɔboa	cooperation	noun			Gaana nye Togo ndɔboa	Ghana and Togo cooperation
ndɔboakuw	team	noun		a group that helps each other	ndɔboakuw adwuma	my team
ndua	wood	noun			ndua na mboba	wood and stone
nduamu	entry	noun			nduamu foforo wɔ nwoma no mu	a new entry in the book
ndwom	music	noun			bɔ nwdom	play music
ndwom	song	noun			bɔ nwdom	play a song
ndwomtow	singing	noun			me pɛ ne ndwomtow	I like her singing
ne	of	preposition		expresses possession	Abibiman ne kasa	language of Africa
ne	her	possessive			ne fie	her house
ne	his	possessive			ne fie	his house
ne	its	possessive		singular possessive pronoun for neuter gender objects	ne fie	its house
nede	hers	pronoun			ɛ yi yɛ nede	this thing is hers
nede	hise	pronoun		his	ɛ yi yɛ nede	this thing is his
neho	herself	pronoun			ɔ bu neho	she respects herself
neho	himself	pronoun			ɔ bu neho	he respects himself
nenam	walk about	verb			ɔ nenam	she walks about
Nepɔl	Nepal	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Nepɔl	go to Nepal
Nepɔlnyi	Nepali	noun	obi a ɔ fi Nepɔl	someone from Nepal	Nepɔlfo no	the Nepalis
neyɔn	neon	science			neyɔn (Ne) wɔ protɔn 10	neon (Ne) has 10 protons
nɛɛse	nurse	noun			ɔ yɛ nɛɛse	she is a nurse
nɛɛseni	nurse	noun			ɔ yɛ nɛɛseni	she is a nurse
nɛɛvɔs	nervous	adjective			nɛɛvɔs nyi	a nervous person
nɛtewɛke	network	noun			nɛtewɛke kandea no asɔ	the network light is on
ngaa	waah	exclamation	abofra ne su	a baby's cry	su ngaa te sɛ abofra	cry waah like a baby
ngo	oil	noun			ngo no	the oil
ngyeso	response	noun			ndwom ngyeso	song's response (i.e. chorus)
ngyetomu	acceptance	noun			ɔdɔ, ngyetomu na bɔnefakyɛ	love, acceptance and forgiveness
Ngyiresi	England	noun			me di fefɛwbere wɔ Ngyiresi	I spend spring in England
nhwehwɛmu	investigation	noun			wɔ reyɛ nhwehwɛmu	they are carrying out an investigation
nhyiae	conference	noun			yɛ rekɔ nhyiae no	we are going to the conference
nhyiamu	meeting	noun		a gathering of a group to talk about something	twa nhyiamu no mu	cancel the meeting
nhyira	blessing	noun			Nyame ne nhyira	God's blessing
nhyiren	flower	noun			nhyiren fɛɛfɛw	pretty flower
nhyɛ	command	noun			ma no nhyɛ	give him a command
nhyɛananmu	replacement	noun				
nibima	cryptolepis sanguinolenta	noun			nibima tu atiridii	cryptolepis sanguinolenta cures malaria
Nigyɛɛ	Niger	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Nigyɛɛ	go to Niger
Nigyɛɛnyi	Nigerien	noun	obi a ɔ fi Nigyɛɛ	someone from Niger	Nigyɛɛfo no	the Nigeriens
nino	siren	noun	afiri a ɛ de su kɛse bɔ dawuru		nino dededede	loud siren
niwklɔs	nucleus	science			protɔn nye niwtrɔn hyɛ niwklɔs mu	a nucleus contains protons and neutrons
niwtrɔn	neutron	science			niwtrɔn ne kyeagye yɛ 0	a neutron has a charge of 0
nka	smell	noun			me te nka	I sense a smell
nkaano	ancient times	noun			nkaano na ha yi yɛ kwan	in ancient times this here was a road
nkabom	unity	noun			nkabom na asomudwoe	unity and peace
nkabomkuw	union	noun			Abibiman Nkabomukuw	African Union
nkae	remainder	noun			aduane nkae no	the remainder of the food
nkakrankakra	little by little	adverb			nkakrankakra akokɔ nom nsu	little by little a chicken drinks water
nkate	groundnut	noun			eburow na nkate	corn and groundnuts
nkenyan	revival	noun			nkenyan aba kurow mu	revival has come to town 
nketenkete	pins and needles	noun			nketenkete nnyɛ yareba	pins and needles is not a disease
nko	alone	adverb			ɔ bɛkɔ nko	he will go alone
nko	only	adjective			wo nko	only you
nkoasom	servanthood	noun			yɛn nkoasom	our servanthood
nkodwobo	manganese	noun			nkodwobo (Mn) wɔ protɔn 25	manganese (Mn) has 25 protons
nkogu	defeat	noun			nkonyim na nkogu	victory and defeat
nkontaa	accounts	noun			ɔ buee nkontaa	she made accounts
nkontaabu	computing	noun			kɔmputa yɛ nkontaabu	a computer does computing
nkontaabu	mathematics	noun			ɔ kyerɛ nkontaabu	she teaches mathematics
nkonyaa	trick	noun			gyae nkonyaa no	stop the tricks
nkonyim	victory	noun			nkonyim na nkogu	victory and defeat
nkorokoro	one by one	adverb			wɔ baee nkorokoro	they came one by one
nkorɔfo	people	noun			nkorɔfo bi	some people
nkɔn	disgusting	adjective			hɔ yɛ nkɔn	the place is disgusting
nkɔsan	trip	noun			nkɔsan anum	five trips
nkɔso	progress	noun			me hu nkɔso	I see progress
nkra	message	noun			bere a nkra no baee	when the message arrived
Nkran	Accra	noun			me rekɔ Nkran	I am going to Accra
nkran	ants	noun			nkran no redɔre	the ants are thriving
nkrandaa	verandah	noun			yɛ nkɔ nkrandaa no so	let's go to the verandah
Nkrankasa	GaDangme	noun		Ga. A West African people; their language	me ka Nkrankasa	I speak GaDangme
nkrantee	cutlass	noun			fa nkrantee no ma me	give me the cutlass
nkrato	advertisement	noun			nkrato foforo	a new advertisement
nkrumsi	sighing	noun			nkrumsi pii	many sighings
nkrɔm	snoring	noun			nkrɔm dede	loud snoring
nku	sheabutter	noun			nku ne huam	the fragrance of sheabutter
nkukunkaka	junk	noun			nkukunkaka wɔ dan no mu	there is junk in the room
nkunuma	okro	noun			nkunuma nkwan	okro soup
nkuranhyɛ	encouragement	noun			nkuranhyɛ na anigye	encouragement and joy
nkuto	pomade	noun			nkuto huahuam	fragrant pomade
nkwa	vitality	noun			nsu ma nkwa	water gives vitality
nkwaba	fish-hook	noun			nkwaba abien	two fish-hooks
nkwagye	salvation	noun			yɛn nkwagye	our salvation
nkwan	soup	noun			abɛ nkwan	palm nut soup
nkwanta	junction	noun			yɛ adu nkwanta	we have reached a junction
nkwantabisa	signpost	noun			nkwantabisa tenten	a tall signpost
nkwantia	outskirt	noun			me te nkwantia	I live in the outskirts
nkwaseasɛm	folly	noun			ɛ yɛ nkwaseasɛm kɛkɛ	it is just folly
nkwaseasɛm	nonsense	noun			ɔ ka nkwaseasɛm	he talks nonsense
nkyekyɛmu	division	noun			2/1 = 2; iyi nye nkyekyɛmu	2/1 = 2; this is division
nkyekyɛmu	verse	noun			nkyekyɛmu abiasa	three verses
nkyene	salt	noun			asikyire nye nkyene	
nkyerɛase	explanation	noun			nkyerɛase no da hɔ pefee	the explanation is clear
nkyerɛkyerɛmu	definition	noun			nkyerɛkyerɛmu papa	a good definition
nkyerɛmu	meaning	noun			hwehwɛ nkyerɛmu	seek meaning
nkyetɔn	kidnapping	noun			nkyetɔn yɛ bɔne	kidnapping is evil
nkyia	greeting	noun			nkyia foforo	a new greeting
nkyidɔm	rearguard	noun			wɔ yɛ nkyidɔm	they are the rearguard
nkyɛkyɛre	grass	noun			nantwi we nkyɛkyɛre	a cow chews grass
nna	then	adverb			nna ɔ daee	then he slept
nnkɔbienmu	odd	mathadj	nkanee a wo kyɛ mu abien a bi ka		1 yɛ nnkɔbienmu nkanee	1 is an odd number
nnoboa	cooperative	noun				
nnuho	repentance	noun			ɔdɔ nye nnuho	love and repentance
nnyi	not have	verb			me nnyi sika nso me wɔ agyapade	I don't have money but I have property
no	her	pronoun			kyerɛ no	show her
no	him	pronoun			kyerɛ no	show him
no	the	determiner			dan no	the house
noa	cook	verb			noa moo kakra	cook a little rice
noho	other side	adverb			yɛ nkɔ noho	let us go to the other side
nokware	truth	noun		state or quality of being true to someone or something	ɔ kaee nokware no	she spoke the truth
nom	drink	verb			nom nsu	to drink water
Nowa	Noah	noun			Nowa yɛ barimba	Noah is a man
nsa	hand	noun			ma wo nsa do	lift up your hand
nsa	liquor	noun			huei nsa kakra	pour a little liquor
nsaamaa	maggot	noun			nsaamaa pii	many maggots
nsaano	fingertip	noun			tafere wo nsaano	lick your fingertips
nsabow	drunkenness	noun			nsabow nye ɔyaw	drunkenness and pain
nsabran	appellation	noun			bɔ no nsabran	proclaim her appellations
nsaefuw	palmwine	noun			nom nsaefuw	drink palmwine
nsamanwa	tuberculosis	noun			nsamanwa yɛ yare	tuberculosis is a disease
nsatea	finger	noun			kyerɛ me wo nsatea	show me your finger
nsaterɛ	palm	noun			bae wo nsaterɛ mu	open out your palms
nsensansensan	striped	adjective			oguan nsensansensan	striped sheep
nsesa	change	noun			wo wɔ nsesa?	do you have change?
nsesatumi	impact	noun			adesua wɔ nsesatumi kɛse	learning has great impact
nsew		noun	ntam			
nsɛn	scale	noun			fa nsɛn no susuw	to measure with the scale
nsiho	interest	noun			bosea nsiho	loan interest
nso	ash	noun			biriw na nso	charcoal and ashes
nso	yet	conjunction		still; but nevertheless	nwoma no yɛ kɛse nso me kenkanee ne nyina	the book is big yet I read all of it
nsɔe	thorn	noun			yi nsɔe no	remove the thorn
nsɔhwɛ	exam	noun			nsɔhwɛ no yɛ koko	the exam is easy
nsɔhwɛ	test	noun			nsɔhwɛ no yɛ den	the test is difficult
nsrahwɛ	tour	noun			zu nsrahwɛ	zoo tour
nsu	water	noun			wo nom nsu	you drink water
nsu-akyekyerɛ	turtle	noun			nsu-akyekyerɛ boro	a turtle swims
nsuadehɛn	submarine	noun			nsuadehɛn foforo	a new submarine
nsuhyɛn-gyinabea	harbour	noun		a sea port	Takorade wɔ nsuhyɛn-gyinabea	Takoradi has a harbour
nsukyerɛma	snow	noun			nsukyerɛma wɔ bepɔw no do	there is snow on the mountain
nsukɔm	thirst	noun			nsukɔm de me	I feel thirst (I am thirsty)
nsukɔm	thirst	noun			kɔm na nsukɔm	hunger and thirst
nsunam	fish	noun			nsunam kyewee	fried fish
nsunsu	liquid	adjective		flows and has constant volume	nsu nsunsu	liquid water
nsusono	hippopotamus	noun		also called a hippo	nsusono wɔ yafunu kɛse	a hippopotamus has a big stomach
nsusui	measure	noun			moo nsusui abiasa	three measures of flour
nsutae	lake	noun			nsutae no ayiri	the lake has overflowed
nsutene	river	noun			nsutene kɔ po mu	a river goes into a sea
nsutɔbere	rainy season	noun			nsutɔbere aba	the rainy season has arrived
nsuyiri	flood	noun			Nkran nsuyiri	Accra flood
nsuyirii	flood	noun			Nkran nsuyirii	Accra floods
ntafi	spittle	noun			pepa ntafi no	wipe the spittle
ntafo	twins	noun			yɛ yɛ ntafo	we are twins
ntam	oath	noun			ntam kɛse	great oath
ntama	cloth	noun			fura ntama	wear cloth
ntamu	among	preposition			nyimpa ntamu	among people
ntansa	triplets	noun			wɔ yɛ ntaansa	they are triplets
ntare	clothes	noun			tɔ ntare	buy clothes
ntasu	spittle	noun			pepa ntasu no	wipe the spittle
ntentan	web	noun			ananse ntentan	the web of a spider
ntɛ	spin-top	noun			ntɛ anum	five spin-tops
ntɛ	spinning top	noun			Kofi de ntɛ redi agoro	Kofi plays with a spinning top
ntɛm	quickly	adverb			e nantew ntɛm	you walk quickly
ntɛm	early	adverb			bra ntɛm	come early
nti	so	conjunction			adɛn nti?	why so?
ntini	vein	noun			mbogya fa ntini mu	blood passes through veins
ntini	root	noun			dua ne ntini	root of a tree
ntoboa	offering	noun			yɛ bɛgye ntoboa	we will receive an offering
ntoboase	patience	noun			dɔ na ntoboase	love and patience
ntoburo	measles	noun			ntoburo yɛ yare	measles is a disease
ntodo	addition	noun			1 + 1 = 2; iyi yɛ ntodo	1 + 1 = 2; this is addition
ntokowantokowa	brown	adjective			anoma ntokowantokowa	brown bird
ntoma	fabric	noun			tɔ ntoma ma me	buy fabric for me
ntomagow	rag	noun			ntomagow dadaw	old rag
ntontom	mosquito	noun			ntontom aka me	a mosquito has bitten me
ntonton	exultation	noun			ntonton ndwom	songs of exultation
ntos	tomato	noun			ntos abien	two tomatoes
ntoto	discord	noun			kohwi nye ntoto	lies and discord
ntɔhwɛ	testicle	noun		the male gonad in animals	bɔdɔm ntɔhwɛ	testicles of a dog
ntɔhwɛ	testis	noun		the male gonad in animals	bɔdɔm ntɔhwɛ	testes of a dog
ntɔkwa	quarrel	noun			ntɔkwa kɛse	a big quarrel
ntropo	eggplant	noun			ntropo frɔwee	eggplant stew
ntrɔba	garden egg	noun			ntrɔba frɔwee	garden egg stew
ntui	porpoise	noun			ntui abiasa	three porpoises
ntuntu	caterpillar	noun			ntuntu bɛyɛ fafranta	a caterpillar becomes a butterfly
nu	immerse	verb			nu no nsu no mu	immerse him in the water
nu ... ho	repent	verb			wɔ nuee wɔn ho	they repented
nu ... hu	regret	verb	nya awerɛhow a ɛ de adwene-sesa ba		me nu me ho sɛ me kaee saa	I regret I said that
nua	sibling	noun			me na ba yɛ me nua	my mother's child is my sibling
nua-banyin	brother	noun			me nua-banyin nko	my only brother
nua-basia	sister	noun			me nua-basia nko	my only sister
nuhu	regret	noun			yaw nye nuhu	pain and regret
num	suckle	verb			num numfo no	suckle the breast
numa	baptise	verb			fa nsu numa	baptise with water
numfo	breast	noun			numfo nsu	breast milk
numfonsu	breastmilk	noun			nom numfonso no	drink the breastmilk
nunu	stir	verb			nunu nkwan no mu	stir the porridge
nunum	mint	noun			nunum nye nsu	mint and water
nwa	snail	noun			me di nwa	I eat snails
nwanwa	wonder	noun			nwanwa na ɔdɔ	wonder and love
nwanwa	amazing	adjective			asɛm nwanwa	amazing story
nwewe	sweetheart	noun			ɔ yɛ me nwewe	he is my sweetheart
nwewee	rheumatism	noun			nwewee yɛ yare	rheumatism is a disease
nwin	cold	adjective			nsu nwin	cold water
nwoma	book	noun			nwoma yi	this book
nwomakorabea	library	noun			yɛ bɛkɔ nwomakorabea	we will go to the library
nwomasua	education	noun			apɔwmuden na nwomasua	health and education
nwura	rubbish	noun			tow nwura no gu	throw away the rubbish
nwura	trash	noun			tow nwura no gu	throw away the trash
nwura	waste	noun			tow nwura no gu	throw away the waste
nya	gain	verb			me wɔ nkwa a, me anya ade nyina	if I have life, I have gained everything
nyaadoa	garden egg	noun			nyaadoa frɔwee	garden egg stew
nyaatwem	hypocrisy	noun			nyaatwem nye ntoro	hypocrisy and lies
nyam	grind	verb			nyam aburow	to grind corn
nyame	god	noun			twereduampɔn nyame	dependable god
